EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1388.78	200.0	0.0174329	-1.06682	-0.405403321349	-0.345320523112	309400
-1319.92	200.0	0.00507198	-1.07672	-0.489810310296	-0.830829762003	312000
-1086.23	200.0	0.000859851	-1.08572	-2.75631721158	-2.05498298492	314600
-1224.4	200.0	0.0022852	-1.10188	-1.92018180093	-2.09753754135	317200
-1181.52	200.0	0.00155833	-1.11779	-1.7423136045	-1.79867285091	319800
-1214.08	200.0	0.000929203	-1.12987	-1.87113753404	-1.90981034233	322400
-1203.64	200.0	0.0131861	-1.14342	-1.1772702103	-1.00843585332	325000
-1173.22	200.0	0.00604945	-1.14853	-1.21921546317	-1.33400662726	327600
-1151.51	200.0	0.00224117	-1.15421	-1.36016541574	-1.17109163975	330200
-1120.45	200.0	0.00562171	-1.16069	-1.10912742478	-1.15674354079	332800
-1076.31	200.0	0.00266558	-1.16538	-1.2721053113	-1.09480142058	335400
-1119.24	200.0	0.00543357	-1.17046	-1.25339196655	-1.60541371869	338000
-1075.08	200.0	0.00291413	-1.17396	-1.89173518349	-1.69708062737	340600
-1007.62	200.0	0.00230874	-1.1766	-1.57371664544	-1.32438124429	343200
-1004.54	200.0	0.00375128	-1.17772	-1.22705710627	-1.3389933602	345800
-953.845	200.0	0.00274479	-1.17798	-1.96478632315	-1.52905385852	348400
-865.469	200.0	0.00260441	-1.17625	-1.37513687901	-1.26424539907	351000
-1005.55	200.0	0.00202386	-1.17698	-1.56552578722	-2.04057934959	353600
-1071.02	200.0	0.00253588	-1.17787	-1.73625912092	-1.87826179368	356200
-1020.43	200.0	0.00145921	-1.17694	-2.10504915215	-1.79575282753	358800
-983.272	200.0	0.000672966	-1.17671	-1.34662087438	-1.33758612595	361400
-1093.39	200.0	0.00519214	-1.1759	-1.63579655128	-1.95433546213	364000
-995.459	200.0	0.00330032	-1.17623	-1.7585249598	-1.75100749121	366600
-980.231	200.0	0.00520233	-1.17711	-1.46592917561	-1.44800417362	369200
-950.448	200.0	0.00187978	-1.17714	-1.08060943595	-1.07125597146	371800
-993.538	200.0	0.00218377	-1.17648	-1.15783846684	-1.55779288581	374400
-1012.02	200.0	0.00179821	-1.17626	-1.41279356344	-1.35286853318	377000
-991.853	200.0	0.00150088	-1.17653	-2.0014502447	-2.1185406963	379600
-1100.29	200.0	0.000509479	-1.1761	-1.59484312776	-2.00858887584	382200
-987.686	200.0	0.000313604	-1.17558	-2.16662189368	-1.50311327329	384800
-1085.45	200.0	0.000586196	-1.17394	-1.3872891639	-1.74661271971	387400
-1031.57	200.0	0.00186415	-1.17357	-1.73311266649	-1.35986587527	390000
-1081.54	200.0	0.00772403	-1.17161	-1.20718952318	-1.32396853968	392600
-887.41	200.0	0.00529462	-1.16952	-2.1830144535	-1.03684017947	395200
-978.729	200.0	0.000996819	-1.16791	-1.09739564514	-1.48746044953	397800
-894.673	200.0	0.00260011	-1.16523	-1.88695032064	-1.41869062606	400400
-1029.85	200.0	0.00432016	-1.16147	-1.39763966127	-1.67575794915	403000
-996.157	200.0	0.000218401	-1.15841	-2.1634542311	-1.53228533496	405600
-1055.48	200.0	0.000871521	-1.15506	-1.413790354	-1.54445247342	408200
-975.146	200.0	0.00199571	-1.14987	-1.48447090201	-1.19685427883	410800
-1047.71	200.0	0.00225902	-1.14281	-1.32578819438	-1.93954247998	413400
-1007.66	200.0	0.00153842	-1.13929	-1.44630224322	-1.41293902361	416000
-999.017	200.0	0.00105726	-1.13466	-1.26548392939	-1.25333483337	418600
-904.157	200.0	0.00190059	-1.13148	-1.46481818682	-1.34675997394	421200
-933.205	200.0	0.00200491	-1.13027	-1.17533100663	-1.34314157391	423800
-926.981	200.0	0.00378989	-1.1326	-1.54162847209	-1.60499214029	426400
-1133.61	200.0	0.00589898	-1.13509	-1.19926591563	-1.39569338012	429000
